id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
456,Пудинг Чудо Шоколадный,2.9,3.1,19,115
457,Ряженка 1%,3,1,4.2,40
458,Ряженка 2.5%,2.9,2.5,4.2,54
459,Ряженка 3.2%,2.9,3.2,4.1,57
460,Ряженка 4%,2.8,4,4.2,67
461,Ряженка 6%,5,6,4.1,84
462,Сливки 9%,2.8,9,4,107
463,Сливки 10% (нежирные),3,10,4,118
464,Сливки 15% (маложирные),2.3,15,3.6,161
465,Сливки 20% (средней жирности),2.8,20,3.7,205
466,Сливки 33% (классические),2.2,33,4,322
467,Сливки 35% (жирные),2.5,35,3,337
468,Сливки Parmalat Comfort безлактозные 20%,2.5,20,3.7,205
469,Сливки взбитые,3.2,22.2,12.5,257
470,Сливки Домик в деревне питьевые 10%,2.7,10,4.4,118
471,Сливки Домик в деревне питьевые 20%,2.5,20,4,206
472,Сливки сгущенные с сахаром,6.1,19,53,410
473,Сливки сухие,23,42.7,26.3,579
474,Сливки сухие высокожирные,10,75,10,753
475,Сметана 10% (нежирная),3,10,2.9,115
476,Сметана 12%,2.7,12,3.9,133
477,Сметана 15% (маложирная),2.6,15,3,158
478,Сметана 18%,2.5,18,3.6,184
479,Сметана 20% (средней жирности),2.8,20,3.2,206
480,Сметана 25% (классическая),2.6,25,2.5,248
481,Сметана 30%,2.4,30,3.1,294
482,Сметана 40% (жирная),2.4,40,2.6,381
483,Аньолотти,10,1.1,71.5,344
484,Баветте,11,1.3,70.5,351
485,Блинчики Морозко сладкие с вишней,3.5,4.5,32,180
486,Блинчики Морозко сладкие с творогом,7.2,6,27.4,192
487,Блинчики Морозко сытные с мясом,7.2,10.7,23.3,218
488,Блины,6.1,12.3,26,233
489,Блины с ветчиной,8.9,13.5,33.9,292
490,Блины с ветчиной и сыром,14.3,20.2,35.3,382
491,Блины с грибами,6.7,9.9,21,218
492,Блины с красной икрой,12.7,15.2,33.7,324
493,Блины с маслом,8,15.2,40.6,332
494,Блины с мёдом,7.2,13.5,50.4,350
495,Блины с сёмгой,11.2,14.9,33.8,313
496,Блины с сыром,11.4,18.3,34.3,348
497,Блины со сгущеным молоком,8.1,12.4,41.7,324
498,Блины со сметаной,7.1,16.3,34.3,311
499,Бораки,13.7,12,30.7,277
500,Букатини,12,1.2,71,350
501,Вермишель Makfa яичная длинная,11.3,2.1,69.6,342
502,Вермишель SanBonsai из чёрного риса,7.3,0.9,78,349
503,Вермишель Роллтон на домашнем бульоне с говядиной,8.7,21.1,56.7,452
504,Вермишель Роллтон №21,10.4,1.1,71.5,344
505,Зити,12,1.2,71,330
506,Капеллини,13,1.5,70.2,346
507,Клецки,5,4.8,25.8,160
508,Конкильони,10.4,1.1,71.5,344
509,Лапша Midori рисовая крупная,0.1,1.2,84.9,330
510,Лапша SanBonsai гречневая Soba,10,0.5,62,294
511,Лапша SanBonsai пшеничная Udon,12,1,65,358
512,Лапша SanBonsai яичная Egg,9,15,68,440
513,Лапша SOBA гречневая,14.7,0.9,70.5,348
514,Лапша домашняя,12,3.7,60.1,322
515,Лапша Доширак со вкусом говядины,7,18,63,440
516,Лапша Доширак со вкусом курицы,9,19,62,460
517,Лапша Доширак со вкусом морепродуктов,9,19,62,460
518,Лапша рамен,10.4,1.1,69.7,337
519,Лапша Роллтон с курицей,8.8,20.7,56.7,448
520,Лапша Роллтон яичная Классическая,10.4,2,59.2,298
521,Лапша Сэн Сой рисовая,7,0,79,344
522,Лапша удон,10.4,1.1,69.7,337
523,Лапша харусаме,0,0,88.1,352
524,Лингуине,12,1.2,71,350
525,Листы для лазаньи,12,1.5,72.2,350
526,Листы для лазаньи Barilla,12,1.5,72.2,350
527,Макароны Barilla Colezione Mezze Penne Tricolore,12,2,71.7,353
528,Макароны Barilla Fusilli,14,2,69.7,359
529,Макароны Barilla Fusilli без глютена,6.5,1.8,87.7,359
530,Макароны Makfa,10.4,1.1,71.5,344
531,Макароны Makfa гречневые,14.1,1,70.9,350
532,Макароны Makfa Станичные (перья любительские),16.3,1.6,69.2,356
533,Макароны Makfa Станичные (спирали),16.3,1.6,69.2,356
534,Макароны Makfa томатные,13,1.5,75,370
535,Макароны Makfa цельнозерновые,13.9,1.4,73.1,361
536,Макароны Makfa шпинатные,12.6,1.3,76,366
537,Макароны вареные с маслом,3.4,5,19,135
538,Макароны высшего сорта,10.4,1.1,69.7,337
539,Макароны высшего сорта вареные,3.5,0.4,23.2,112
540,Макароны запеченные с яйцом,4.6,8.3,14.8,152
541,Макароны первого сорта,10.7,1.3,68.4,335
542,Мафальдине,12,1.5,72.2,350
543,Мука амарантовая,8.9,1.7,61.7,298
544,Мука арахисовая,25,47,14.5,590
545,Мука блинная,10.1,1.8,69.7,336
546,Мука гороховая,21,2,49,298
547,Мука гречневая блинная Myllyn Paras,13,1.7,67.5,340
548,Мука гречневая диетическая,13.6,1.2,73.7,367
549,Мука для пиццы Myllyn Paras,12.9,2,68.4,350
550,Мука из грецкого ореха,15,18,3,234
551,Мука из зародышей пшеницы,33.9,7.7,32.8,335
552,Мука из зеленой гречки,12.6,3.3,62,328
553,Мука из овсяных отрубей,18,7.1,45.3,320
554,Мука из семян тыквы ,43,10,35,400
555,Мука из фундука,15,61,9.4,651
556,Мука кедровая,31,19,33,432
557,Мука кокосовая,20,16.6,60,466
558,Мука конопляная,30,7.9,24.7,290
559,Мука кукурузная ,8,1,75,330
560,Мука кукурузная диетическая,7.2,1.5,70.2,330
561,Мука кунжутная,45,12,32,462
562,Мука льняная,36,10,9,270
563,Мука миндальная,25.8,54.5,13,602
564,Мука миндальная низкокалорийная обезжиренная,52,11,12,354
565,Мука нутовая,10.9,2.9,66,337
566,Мука овсяная ,11.9,5.8,65.4,370
567,Мука овсяная диетическая,13,6.8,64.9,369
568,Мука ореховая,50.1,1.8,35.5,333
569,Мука подсолнечная,48.1,12,30.6,423
570,Мука пшеничная,9.2,1.2,74.9,342
571,Мука пшеничная 1-го сорта,10.6,1.3,67.6,331
572,Мука пшеничная 2-го сорта,11.7,1.8,63.7,324
573,Мука пшеничная высшего сорта,10.3,1.1,68.9,334
574,Мука пшеничная высшего сорта Makfa,10.3,1.1,60.7,334
575,Мука пшеничная из твёрдых сортов,12,1.7,69.4,342
576,Мука пшеничная с отрубями ,10,1,68,320
577,Мука пшеничная цельнозерновая,11.5,2.2,55.8,298
578,Мука пшеничная цельнозерновая тонкого помола ,11,1.4,68.7,342
579,Мука ржаная грубого помола,9.4,2.3,55.9,280
580,Мука ржаная обдирная,9,1,73,325
581,Мука ржаная обойная,10.7,1.9,56.8,293
582,Мука ржаная цельносмолотая ,10.7,1.9,58.8,294
583,Мука рисовая ,7,0.5,78,340
584,Мука рисовая цельнозерновая,5.5,0.8,81.2,354
585,Мука рисовая диетическая,7.4,0.6,82,371
586,Орзо (ризони),12,1.2,71,350
587,Папарделле,10,1.1,71.5,344
588,Паста (Макаронные изделия),10,1.1,71.5,344
589,Паста Мистраль Птитим,12.1,0.7,72.7,350
590,Пельмени с говядиной,12,8,38,292
591,Пельмени с говядиной и свининой,11,14,25,270
592,Пельмени с индейкой,13,4,26,207
593,Пельмени с куриным мясом,11,6,23,210
594,Пельмени со свининой,8,20,28,300
595,Пенне Myllyn Paras,10.4,1.1,71.5,344
596,Равиоли,15.5,8,29.7,245
597,Ракушка Myllyn Paras,10.4,1.1,71.5,344
598,Ригатони,8,1.2,42.9,220
599,Рисовая бумага,5.8,0,77,333
600,Рисовая бумага Сэн Сой Премиум,5.8,0,77.4,333
601,Рожки Myllyn Paras,10.4,1.1,71.5,344
602,Спагетти,10.4,1.1,71.5,344
603,Спагетти Myllyn Paras,10.4,1.1,71.5,344
604,Спагеттини,11.2,1.6,68.4,333
605,Спираль Myllyn Paras,10.4,1.1,71.5,344
606,Тальятелле,21.7,2.2,63.3,374
607,Фарфалле,10.4,1.1,71.5,344
608,Фетучини,14.1,4.4,67.6,384
609,Фунчоза,0.7,0.5,84,320
610,Фунчоза Sen Soy,1.5,0,83,340
611,Чипетке,7.9,1.4,50.6,234
612,Антрекот из говядины,29.6,11.2,0,220
613,Антрекот из свинины,28.7,9.8,0,210
614,Бараний окорок,18,18,0,232
615,Бараний фарш,17,23,0,282
616,Бараний язык,12.6,16.1,0,195
617,Баранина,15.6,16.3,0,209
618,Баранина вареная,24.6,21.4,0,291
619,Баранина жареная,20,24,0,320
620,Баранина тушеная,20,20.9,0,268
621,Баранье сердце,13.5,2.5,0,82
622,Бараньи почки,13.6,2.5,0,77
623,Баранья лопатка,15.6,25,0,284
624,Баранья печень,18.7,2.9,0,101
625,Бастурма турецкая,14.8,20.1,0,240
626,Бекон,23,45,0,500
627,Бекон сырокопченый ,10,44,0,436
628,Бефстроганов из говядины,16.7,11.3,5.9,193
629,Бефстроганов из курицы,14.7,2,0.4,163
630,Бефстроганов из свинины,19.4,7.1,0,142
631,Бифштекс,27.8,29.6,1.7,384
632,Блюдо армянское Бозбаш 4 сезона замороженное,3,9.5,4,126
633,Блюдо болгарское Жаркое по-деревенски 4 сезона замороженное,3.5,11.1,5.5,137
634,Блюдо греческое Мясо по-македонски 4 сезона замороженное,5.8,10.1,22,206
635,Блюдо грузинское Чахохбили с фасолью 4 сезона замороженное,6.2,5.5,3.4,87
636,Блюдо индийское Цыплёнок карри 4 сезона замороженное,6.6,3.2,21,142
637,Блюдо испанское Паэлья 4 сезона замороженное,8.2,3,16.3,129
638,Блюдо итальянское Пенне карбонара 4 сезона замороженное,5.6,11.4,16.4,188
639,Блюдо итальянское Ризотто с морепродуктами 4 сезона замороженное,6.5,6.4,18.8,163
640,Блюдо китайское Курочка по-пекински 4 сезона замороженное,5.6,3.3,11.8,102
641,Блюдо китайское Свинина в кисло-сладком соусе 4 сезона замороженное,4.4,9.4,14.8,153
642,Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона замороженное,6.6,8.5,10.7,127
643,Блюдо мексиканское Чили кон карне 4 сезона замороженное,6.4,8.8,15.7,160
644,Блюдо наше Макароны по-флотски 4 сезона замороженное,7.6,9.9,21.2,185
645,Блюдо русское Барашек с гречкой 4 сезона замороженное,5.9,13.8,17.7,224
646,Блюдо тайское Лапша карри 4 сезона замороженное,5.9,6.4,12.7,128
647,Блюдо узбекское Плов с бараниной 4 сезона замороженное,4.2,6,14.9,150
648,Блюдо французское Шампиньон де пари 4 сезона замороженное,6.7,9.5,5.1,129
649,Блюдо швейцарское Фондю эменталь 4 сезона замороженное,7.9,10.2,13.3,175
650,Блюдо японское Сакэна с рисом 4 сезона замороженное,5.7,2.4,13.6,103
651,Буженина вареная,16.4,18.3,1,233
652,Ветчина Говяжья вареная,19,5.5,0,130
653,Ветчина из индейки с травами,20.8,2.6,0,109
654,Ветчина из индейки,13,4,0,90
655,Ветчина из индейки обезжиренная,15,1,2,77
656,Ветчина нежная из индейки,10,10,5,154
657,Ветчина нежная из свинины,8,13,3,166
658,Говядина,18.9,12.4,0,187
659,Говядина вареная,25.8,16.8,0,254
660,Говядина варено-копченая ,16,4,1,100
661,Говядина жареная,32.7,28.1,0,384
